Product	Hoeveelheid	Eenheid	Kcal	Eiwit	Koolhydraten	Vet
selderstengel	100	g	21,00	1,2	3,6	0,2
sesamzaad	100	g	614,00	26	6	54
shoarma met broodje	100	g	236,10	10,8	14,7	14,9
shoarmarol	100	g	176,20	7	18,6	8,2
shoarmavlees	100	g	293,00	17	0	25
sinaasappel	1	stuk	48,00	1	11	0
sjalot	100	g	75,00	1,3	17	0,2
sla	100	g	10,00	0,5	2	0
slagroom (geklopt)	100	g	349,50	2	12,7	32,3
slagroom (ongeklopt)	100	g	343,90	2,2	3	35,9
slagroomsoesje	100	g	309,20	4,4	13,5	26,4
slagroomtaart	100	g	322,00	5,5	30	20
slakken	100	g	81,00	16	2	1
slasaus 25%	100	g	279,00	0,7	11	25,8
slasaus 50%	100	g	478,00	1	6	50
slasaus, 05% olie of light	100	g	93,40	0,1	12	5
slavink	100	g	298,60	21,1	0	23,8
smarties	100	g	483,10	4,6	70,5	20,3
smeerkaas 20+	100	g	185,00	18	8	9
smeerkaas 30+	100	g	219,00	20	1	15
smeerkaas 40+	100	g	251,00	19	1	19
smeerkaas (volvet)	100	g	269,00	19	1	21
snickers	1	stuk	301,00	6	31	17
snijbiet (gekookt)	100	g	24,00	3	3	0
snijbonen	100	g	16,00	2	2	0
snoek	100	g	81,80	18,2	0	1
soep	100	g	29,00	1	4	1
soepgroenten	100	g	32,00	2	6	0
soepstengel	100	g	360,00	14	67	4
sojabonen	100	g	170,80	15,2	10,4	7,6
sojabrokjes	100	g	113,90	17,2	10,6	0,3
sojadessert choco (alpro)	100	g	80,60	3	13,1	1,8
sojadessert vanille (alpro)	100	g	80,60	3	13,1	1,8
sojamelk	100	g	41,80	3,6	1	2,6
sojasaus	100	g	120,00	12	18	0
sojascheuten	100	g	30,90	2	4,6	0,5
spaghetti	100	g	345,50	12	71	1,5
spaghetti (volkoren)	100	g	332,50	13,5	64	2,5
sparerib	100	g	308,40	22,2	0,9	24
speculaas	100	g	492,80	5,2	73	20
spek (gezouten)	100	g	522,10	10,6	0	53,3
spekkie	100	g	352,00	6	82	0
sperziebonen (gekookt)	100	g	24,40	2,3	3,8	0
spinazie	100	g	24,00	3	3	0
spinazie a la creme	100	g	68,00	3	5	4
spirelli	100	g	348,60	12	72	1,4
spitskool (rauw)	100	g	37,00	3	4	1
sprits	100	g	539,40	5,5	58,7	31,4
sprot (gebakken)	100	g	334,20	21,6	3	26,2
spruiten	100	g	53,00	4	7	1
stilton	100	g	464,00	26	0	40
stokbrood	100	g	259,30	8,1	52	2,1
strooiaroma	100	g	1,60	0,2	0,2	0
stroop	100	g	288,00	0	72	0
stroopwafel	1	stuk	136,00	1	15	8
struisvogelsteak	100	g	108,30	21	0	2,7
studentenhaver	100	g	468,00	8,8	35,3	32,4
sucadelappen	100	g	249,00	33	0	13
suiker	100	g	400,00	0	100	0
